,Reassignments of a switch in 120 iterations
28,1.0
13,1.0
11,1.0
40,1.0
6,1.0
33,1.0
22,1.0
1,0.5524573635655888
25,0.1993006445331791
34,0.16244200625910568
23,0.2002976258958553
4,0.3164280285900931
32,0.3514678014122393
31,0.2678922868781711
3,0.42796058595891545
29,0.5279073684459108
30,0.4273907378903864
12,0.47421538573437055
2,0.45688785022583867
27,0.3415385515307967
24,0.5135473571915524
15,1.0
26,1.0
36,1.0
20,1.0
14,1.0
17,0.17464060701777673
39,0.1173767708994512
21,0.1413809058027954
18,0.17324534439574818
37,0.17451903370339414
19,0.0
35,0.5184841910863882
16,0.28503362492111756
10,0.75
7,0.4344391151106009
8,0.4539325875644263
5,0.09123966141575011
38,0.0
