,Reassignments of a switch in 120 iterations
4,1.0
25,1.0
40,1.0
1,1.0
6,1.0
13,1.0
29,1.0
11,1.0
28,1.0
34,1.0
32,1.0
22,1.0
2,1.0
3,1.0
27,1.0
33,0.5169790278207914
31,1.0
30,1.0
12,0.6837621698634361
23,0.41558324327157725
24,0.5797811885015228
39,0.8040093315972222
16,0.8125
36,0.8040093315972222
37,0.8040093315972222
18,0.8040093315972222
21,0.48591251800268936
15,0.01818125321583984
17,0.02817700884959224
20,0.025903742844342645
26,0.32503792505167567
35,0.08768866458180305
14,0.35470800961639704
10,0.8001174815599589
8,0.8001174815599589
7,0.482827293222833
9,0.0
5,0.09837756284761508
