,Reassignments of a switch in 120 iterations
3,1.0
32,1.0
4,1.0
12,1.0
40,1.0
22,1.0
13,1.0
28,1.0
27,1.0
25,0.2607506227506667
30,1.0
33,1.0
11,1.0
29,1.0
1,1.0
24,0.9641816944045984
2,1.0
31,1.0
34,0.5148547091343568
6,0.40047800356323915
23,0.5197092046832826
37,0.9005854499080785
36,0.9005854499080785
14,0.9005854499080785
26,0.9000575004274536
39,0.9005854499080785
18,0.9005854499080785
17,0.2806248904612121
21,0.34570588954439835
35,0.21942872599316
16,0.05649269343102054
20,0.06362310873062854
15,0.33233573058515803
5,0.840998524124621
7,0.17765212147748569
10,0.33889860451701176
8,0.5131610172320591
38,0.0
19,0.0
