,0
0,386452.73469393945
1,2296941.0716211116
2,1192596.9859253713
3,0.0
4,374127.2829632766
5,0.0
6,509756.7761187753
7,0.0
8,0.0
9,458005.91257065634
10,0.0
11,0.0
12,0.0
13,0.0
14,538057.2841490008
15,1095929.0309656411
16,586155.8957987772
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,539624.9202083151
24,581665.9973777252
25,0.0
26,613026.6724379014
27,431650.17561819236
28,564599.8174361676
29,0.0
30,0.0
31,0.0
32,1122395.7800177904
33,0.0
34,0.0
35,803718.4484931205
36,0.0
37,0.0
38,0.0
39,485789.45186251204
40,1158008.2689854847
41,0.0
42,0.0
43,0.0
44,417921.5599210327
45,548936.6482822313
46,0.0
47,0.0
48,399562.98637588497
49,0.0
50,1128608.751799367
51,442980.59367073537
52,640822.428970861
53,0.0
54,402450.0519529828
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,621860.8844600547
63,0.0
64,1062275.8307812358
65,259928.0711714889
66,0.0
67,0.0
68,0.0
69,0.0
70,506154.7531727746
71,939253.8924801697
72,278892.47309571423
73,0.0
74,570711.0822420123
75,0.0
76,0.0
77,288503.01089962875
78,439538.4268349561
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,702517.9731552987
85,0.0
86,184576.00317788974
87,0.0
88,503277.6836429944
89,0.0
90,0.0
91,0.0
92,362448.8877325871
93,0.0
94,370317.1409458263
95,0.0
96,838516.159733957
97,0.0
98,407709.30640167
99,0.0
100,0.0
101,0.0
102,453976.6274286956
103,360703.0984001471
104,0.0
105,335041.05677637376
106,329647.83670915605
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,490702.26658058545
113,592590.6096107204
114,0.0
115,0.0
116,0.0
117,0.0
118,440615.95307204704
119,0.0
120,0.0
121,0.0
122,0.0
123,1448426.2413078807
124,415304.43538905453
125,0.0
126,373901.5624804062
127,0.0
128,928621.3010359567
129,1245917.893040095
130,0.0
131,0.0
132,0.0
133,0.0
134,415304.9252513952
135,0.0
136,0.0
137,0.0
138,830607.7650146645
139,830610.1256699776
140,0.0
141,0.0
142,0.0
143,415304.42045503814
144,415303.443979909
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,415309.9904930207
152,830618.0584174532
153,0.0
154,396049.8235758285
155,209857.05513033288
156,0.0
157,0.0
158,386695.4894791239
159,0.0
160,812101.698630098
161,0.0
162,0.0
163,415305.9117895422
164,0.0
165,0.0
166,0.0
167,245496.18818977172
168,0.0
169,0.0
170,415302.73911051307
171,0.0
172,0.0
173,415304.67933296243
174,0.0
175,0.0
176,387550.84665060265
177,415300.94753985776
178,374540.4191411165
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,400325.8131706824
188,0.0
189,0.0
190,0.0
191,392144.9402464985
192,415305.6926357043
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,990582.1493501283
203,0.0
204,0.0
205,773946.4196899263
206,0.0
207,415295.92255217844
208,415307.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,415307.0
217,297926.9420724089
218,0.0
219,0.0
220,0.0
221,415308.7879248345
222,0.0
223,415313.6957910896
224,380626.81963300647
225,0.0
226,0.0
227,816517.2499357655
228,415307.0
229,0.0
230,0.0
231,0.0
232,415307.0
233,0.0
234,0.0
235,830611.3450968782
236,165150.29682678604
237,0.0
238,415307.0
239,415298.4343308804
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,415302.0344377066
246,0.0
247,596568.6774310118
248,0.0
249,277420.17638041946
250,415301.8487328352
251,309338.09821066103
252,415299.97937490774
253,0.0
254,415304.1712540173
255,282720.0684646781
256,0.0
257,379821.8798599892
258,0.0
259,287683.12675226945
260,0.0
261,830617.5918813895
262,415303.1999351281
263,0.0
264,0.0
265,415306.87398627604
266,1245923.787875071
267,0.0
268,0.0
269,0.0
270,1142595.588087638
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,1750879.1316782446
284,383938.8736339035
285,415307.0
286,0.0
287,0.0
288,0.0
289,0.0
290,415315.3039002681
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,415307.0
300,0.0
301,0.0
302,415307.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,669227.2265160113
311,0.0
312,0.0
313,415307.0
314,0.0
315,0.0
316,0.0
317,495625.8643568943
318,0.0
319,0.0
320,0.0
321,415307.0
322,0.0
323,0.0
324,0.0
325,0.0
326,415307.0
327,0.0
328,0.0
329,0.0
330,0.0
331,415299.66404513107
332,0.0
333,415308.8618321109
334,428819.9961180199
335,0.0
336,0.0
337,415306.5313850799
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,801222.0875307033
348,0.0
349,415307.0
350,919833.0294882724
351,0.0
352,0.0
353,0.0
354,0.0
355,1321625.69973438
356,415303.571073376
357,929431.4280205225
358,0.0
359,274307.82872374484
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,371469.6104896616
371,519088.06879422755
372,0.0
373,415297.9478010935
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,308322.82647435623
380,0.0
381,415306.716627101
382,365154.57938029343
383,0.0
384,0.0
385,418422.39270517055
386,0.0
387,0.0
388,0.0
389,830611.3778252057
390,0.0
391,0.0
392,0.0
393,489914.637971549
394,0.0
395,397212.2338648217
396,0.0
397,0.0
398,0.0
399,0.0
400,415300.2612192013
401,0.0
402,785216.4181394889
403,0.0
404,0.0
405,415307.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,743498.7507605846
415,0.0
416,0.0
417,0.0
418,0.0
419,415307.0
420,0.0
421,0.0
422,0.0
423,765785.1403226113
424,415299.41138179647
425,0.0
426,0.0
427,0.0
428,0.0
429,415304.6505852484
430,368116.1826805028
431,0.0
432,415307.0
433,0.0
434,0.0
435,0.0
436,0.0
437,415304.6618117496
438,0.0
439,0.0
440,0.0
441,415302.5241240897
442,415307.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,415305.4826052196
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,415307.0
462,0.0
463,0.0
464,0.0
465,0.0
466,1703413.641632373
467,296670.7094709688
468,0.0
469,0.0
470,415301.7719259582
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,415307.0
478,0.0
479,0.0
480,0.0
481,0.0
482,397282.7536381621
