,Reassignments of a switch in 120 iterations
28,1.0
24,1.0
4,1.0
27,1.0
2,1.0
40,1.0
1,1.0
11,1.0
25,0.5263987562701891
32,0.17610326993924694
31,0.12970908655776742
34,0.32349956646223227
23,0.2769611475415787
33,0.3609595513230866
13,0.4750660579845026
29,0.4211628047094996
6,0.48839801773348035
3,0.46563706213094136
12,0.4426726213324855
22,0.5204025686121004
30,0.31885286381462696
26,1.0
21,1.0
37,1.0
35,1.0
14,0.19045503820732404
20,0.17760747048126968
39,0.17944852520195076
15,0.16906970302660812
36,0.35936184904293267
17,0.31802367575606655
16,0.507248470415087
18,0.2984909962903915
8,0.83125
5,0.83125
10,0.5073090799540608
7,0.0848625371369739
9,0.0
19,0.0
