,Reassignments of a switch in 120 iterations
27,1.0
4,1.0
34,1.0
40,1.0
22,1.0
6,1.0
11,1.0
33,1.0
23,0.3195765413259419
1,1.0
3,1.0
29,1.0
30,1.0
12,1.0
31,1.0
2,1.0
13,1.0
28,0.5625578419444082
24,0.628705462077951
25,0.4841923766806926
32,0.4819023695351116
16,0.8333333333333334
21,0.8333333333333334
15,0.8333333333333334
36,0.8002958579881657
17,0.8333333333333334
39,0.8333333333333334
35,0.8002958579881657
20,0.2722266098150165
19,0.0
14,0.17261154748783658
18,0.2126479082540116
26,0.015768859576809582
37,0.44333063723453775
5,0.8006500594847068
10,0.8006500594847068
8,0.8006500594847068
7,0.34618322165260357
9,0.0
38,0.0
