,Reassignments of a switch in 120 iterations
25,1.0
34,1.0
29,1.0
1,1.0
40,1.0
32,1.0
28,0.9892286439665473
30,0.9852410598009212
22,0.9890304484924634
6,0.2678645263156769
31,0.9852410598009212
4,0.10611607298785986
11,0.9638667621668152
3,0.32021735883807617
27,0.9538167769135791
13,0.35163911959572464
33,0.9994343832945763
2,0.43895322882261917
23,0.4255368548823949
24,0.401292041720802
12,0.3142440150465087
17,1.0
39,1.0
14,1.0
21,1.0
35,1.0
37,1.0
26,0.2152060548130163
20,0.2261773454216432
16,0.3566382369814049
19,0.0
15,0.44703871098145515
36,0.3672116352350566
18,0.20669766458641384
10,0.9012345679012346
7,0.9012345679012346
8,0.13889101836295628
5,0.25398115842508867
9,0.0
0,0.0
