,Reassignments of a switch in 120 iterations
33,1.0
27,1.0
31,1.0
22,1.0
40,1.0
2,1.0
6,1.0
13,1.0
32,0.23988768246924774
28,1.0
30,0.1678883148065207
11,1.0
25,0.5073310083421727
3,1.0
4,1.0
12,1.0
29,1.0
23,0.5385001954654572
34,0.5510800344398239
24,0.40090523758112473
1,0.40393085675163387
0,0.0
35,0.8163265306122449
14,0.8163265306122449
18,0.8163265306122449
39,0.8163265306122449
17,0.8163265306122449
26,0.8163265306122449
37,0.8163265306122449
21,0.8163265306122449
20,0.369601182113672
19,0.0
36,0.38987908529924525
16,0.1611376509297337
15,0.3444969714491175
8,0.8017322314049585
10,0.2997093438779095
5,0.34813261129271766
7,0.1674224238832119
9,0.0
