,Reassignments of a switch in 120 iterations
32,1.0
13,1.0
24,1.0
29,1.0
40,1.0
30,1.0
4,1.0
31,1.0
27,1.0
11,1.0
33,0.9862581150301275
34,0.9598115484560822
28,0.958786159019925
6,0.16694838729759695
1,0.9476241107711137
22,0.9848394082105129
3,0.2573032623408502
2,0.9611695207581857
12,0.3746263486103203
23,0.18540905954409295
0,0.0
25,0.39315618444681055
35,1.0
16,1.0
17,1.0
21,1.0
15,1.0
39,0.08681516053864637
18,0.13643212308170888
20,0.4813645228337272
14,0.48286086529096267
36,0.42209223656024725
26,0.4278799370275162
37,0.27448967314595263
10,0.39897194320354856
8,0.14313684970140958
5,0.23342595717097633
7,0.2824996788504393
19,0.0
9,0.0
