,Reassignments of a switch in 120 iterations
3,1.0
22,1.0
40,1.0
25,1.0
6,1.0
34,1.0
1,1.0
30,1.0
13,0.4309927484635961
12,0.11398613058227934
4,0.17605053462306752
31,0.15806606746361843
28,0.9546575238275804
24,0.9336804026395689
32,0.9503866174400545
29,0.9446888068367266
11,0.9568732887059097
23,0.9538170215865595
33,0.42567941776383933
2,0.4490635790395453
0,0.0
27,0.4122953172183724
20,1.0
21,1.0
36,1.0
39,1.0
17,1.0
37,1.0
15,0.12902409344230528
16,0.301185730053913
26,0.29447516818113456
35,0.4902001973506592
18,0.4778584414180572
14,0.2731647357474551
5,0.7333333333333333
7,0.45422080329508985
10,0.34557526613878176
8,0.4101837700966153
9,0.0
19,0.0
38,0.0
