,Reassignments of a switch in 120 iterations
32,1.0
23,1.0
29,1.0
40,1.0
25,1.0
2,1.0
4,1.0
30,1.0
11,1.0
13,1.0
12,0.5598567646827606
22,0.1822137406736148
27,0.17709181892758422
6,0.18604140518917098
24,0.08465363300320199
3,0.2647277949361197
31,0.5015658864300786
28,0.5099872479515514
34,0.5229172889296216
1,0.3420523486598876
33,0.2602296041224221
14,1.0
35,1.0
20,1.0
17,1.0
26,0.18477781887364775
36,0.18136882329161688
39,0.3239004000955039
18,0.45555254956764235
16,0.40303473816293195
21,0.4781327993385772
37,0.4850523553588201
15,0.4942797700732367
7,0.7333333333333333
10,0.33613094426401424
8,0.3093739214701347
5,0.5160043370964821
19,0.0
38,0.0
9,0.0
0,0.0
