,0
0,313357.64970789384
1,438224.527347025
2,84560.76376999868
3,125593.37088718452
4,6497.584136486519
5,103576.62629172672
6,129825.17916340893
7,13506.882786317728
8,145144.41951448657
9,30211.744994255714
10,26114.457298869267
11,30510.454023087397
12,238734.5119251185
13,221448.72992194956
14,133683.33587008668
15,196592.191200227
16,98651.84359687427
17,440609.8096557609
18,906856.8068803865
19,193971.30488900654
20,437878.16098069074
21,514753.36452831794
22,301926.09915049095
23,107772.45581812225
24,256976.92889590887
25,92860.62649040902
26,192551.9495199388
27,90770.97591918055
28,306902.4305026089
29,135736.3428418883
30,394879.4623195501
31,250760.40498592937
32,328456.96594412765
33,5912.013132486492
34,236161.58834972372
35,108836.55111499969
36,530597.7639228003
37,78223.92578152334
38,157237.57761363452
39,408283.78293722635
40,138804.2395371287
41,409826.8791022999
42,104465.72057712218
43,201458.207593665
44,243483.79739440698
45,300975.4960041242
46,400698.9223083486
47,18717.534840482753
48,152442.81807506783
49,189843.84609036194
50,182985.43464804627
51,420938.8970047338
52,209398.9499213067
53,267417.93201124575
54,42360.31401402829
55,2372.4116773940623
56,388537.1790415803
57,190920.778155711
58,88404.08736064006
59,137970.23114797194
60,184964.4057183219
61,113716.65347549273
62,99138.02648238093
63,298811.7562508951
64,349235.9818749428
65,83989.47139066132
66,305060.35816376563
67,99967.25786180887
68,511094.1142678512
69,248692.49501456972
70,78642.2244012272
71,258253.30934634665
72,362466.5013073026
73,145028.5274397172
74,405840.3618353936
75,192991.49892978417
76,133478.96319346083
77,149427.45024624746
78,41500.98594304314
79,27685.694326218218
80,406499.91436337074
81,29917.97957004141
82,285295.01791205397
83,73333.01087664953
84,48737.68448112393
85,70324.90814599674
86,435879.5029032198
87,279259.5719836531
88,152434.00566256884
89,55234.10309663974
90,781610.2162057636
91,245786.67325960658
92,148553.59972675657
93,28916.022730444558
94,110115.57109253574
95,417381.2395454659
96,1117253.4733644444
97,2898.597626293078
98,582247.3890188793
99,144487.0810268731
100,322400.90804948844
101,287262.7983029331
102,530578.0264101792
103,127038.36057052296
104,491391.1553206872
105,83568.79233617242
106,539412.165105484
107,73491.44562718365
