,Reassignments of a switch in 120 iterations
27,1.0
6,1.0
40,1.0
33,1.0
24,1.0
34,1.0
3,0.17834670398613708
30,0.20598459072271647
28,0.18868725038146375
2,0.1683299964434304
1,0.17222199290029488
4,0.19396308113648608
31,0.32379784072427176
13,0.27605283843815964
29,0.49286182203232126
11,0.48608809095479955
32,0.4969905864435121
22,0.47917931043321
12,0.46906328163172656
23,0.2740939856903917
25,0.5286316321852821
16,1.0
21,1.0
15,1.0
35,1.0
26,0.5351525144759914
39,0.15567219605934754
36,0.17307996238388615
14,0.08543496122810507
20,0.3300523011887109
17,0.3988101960838397
37,0.5320210134308365
18,0.3235454767215097
8,0.8148148148148148
10,0.8148148148148148
5,0.8148148148148148
7,0.48009830025327155
38,0.0
9,0.0
