,Reassignments of a switch in 120 iterations
31,1.0
3,1.0
22,1.0
32,1.0
1,1.0
34,1.0
40,1.0
6,1.0
28,1.0
2,0.96119382409705
30,0.9283471359558316
13,0.922616598079561
11,0.9285714285714286
27,0.2308795118906334
29,0.9613062058714232
24,0.46784996267775625
25,0.43681355679473755
4,0.9605077787901346
23,0.3024595366728145
33,0.7006817322732101
12,0.31524861329593695
36,1.0
37,1.0
21,1.0
15,0.26456536809977454
16,0.11700967923326247
39,0.3200500734083547
17,0.8863945242538589
14,0.39024591025734673
35,0.4340253084476997
18,0.27422499501290254
26,0.44687042613279193
20,0.3972914046607622
7,0.7777777777777777
5,0.7777777777777777
10,0.17797909105898316
8,0.165078468242431
0,0.0
38,0.0
