,Reassignments of a switch in 120 iterations
13,1.0
31,1.0
29,1.0
40,1.0
22,1.0
30,1.0
12,0.16769376826616603
23,0.16601337142399977
24,0.14564104551169163
32,0.17129151869816228
1,0.15140137239732587
11,0.18271219505145994
25,0.07808939421943693
33,0.3174831382842046
34,0.32113458529936306
6,0.5265711310801057
3,0.4957345623022987
27,0.5113711823876035
4,0.34076274088110514
2,0.25287527730809295
28,0.5135668468336274
14,1.0
35,1.0
17,1.0
39,1.0
18,1.0
15,0.5234074742967054
36,0.16025553970735887
26,0.30108366056240427
21,0.5094177383728801
37,0.3959617112467206
16,0.5218594563202414
20,0.4970928763371821
7,0.8086734693877551
10,0.8086734693877551
5,0.29147570558787983
8,0.1277101872218689
38,0.0
9,0.0
