,Reassignments of a switch in 120 iterations
28,1.0
6,1.0
27,1.0
34,1.0
2,1.0
40,1.0
31,1.0
29,1.0
33,1.0
30,0.20644429561197472
25,0.17414304470083117
3,0.15438234318144592
11,0.2908563090829014
4,0.3012589105281557
1,0.4796948173179009
13,0.39368781354207943
23,0.3502441600714134
32,0.48752035337831784
12,0.42799939110823626
22,0.49279546395836815
24,0.3051096826345836
36,1.0
20,1.0
15,1.0
17,1.0
14,1.0
26,0.5211464820838589
21,0.15771955856904066
39,0.08430113977744388
35,0.49806585005818976
18,0.49203738719634704
37,0.2653247851881103
16,0.5167890298133624
7,0.4426460068827952
8,0.14951939383151966
5,0.2920041968181705
10,0.27799454558003056
19,0.0
0,0.0
