,Reassignments of a switch in 120 iterations
33,1.0
22,1.0
12,1.0
30,1.0
40,1.0
25,1.0
1,1.0
24,0.4337457145935505
6,0.9614767832223747
11,0.9624257021419925
27,0.14703602476000957
28,0.14890423072789946
2,0.9618305366827963
23,0.30106345073028823
13,0.95184318230235
29,0.989778009246309
32,0.2554406862997609
4,0.39413709324359447
3,0.3340901551639629
31,0.39419092727743626
34,0.2534511601881551
18,1.0
14,1.0
16,1.0
26,0.15168122962149652
17,0.9611568242262939
20,0.18555210649351173
15,0.2662148036144712
39,0.4170391098406476
37,0.41020315494620385
21,0.39262898568412596
35,0.36997999301896556
36,0.4121698391794627
5,0.75
7,0.75
8,0.75
10,0.3221232237332429
38,0.0
9,0.0
