,Reassignments of a switch in 120 iterations
6,1.0
13,1.0
29,1.0
25,1.0
3,1.0
40,1.0
22,1.0
4,1.0
34,1.0
24,1.0
28,0.512200077506153
11,0.15271016889643627
32,0.15909727304288243
1,0.28779126663041676
30,0.25364418316799653
23,0.41240505929431465
33,0.33231097778267155
31,0.4849492884231598
27,0.5105898529414399
12,0.45162477343659907
2,0.33590395305230253
0,0.0
20,1.0
15,1.0
35,0.14937235743477204
16,0.10415036120119293
21,0.13617733084593145
14,0.14597342172097066
17,0.11146484995972293
37,0.3533263891853359
39,0.4642668538484373
36,0.47254441303732286
26,0.48072714600192407
18,0.45450911383800524
8,0.7333333333333333
7,0.7333333333333333
5,0.15114426157477642
10,0.5269539805708043
38,0.0
