,Reassignments of a switch in 120 iterations
34,1.0
1,1.0
40,1.0
4,1.0
2,1.0
24,1.0
27,1.0
25,1.0
11,1.0
30,0.19940681841654953
22,0.1476839760596166
23,0.1751237989495266
33,0.16903356858850532
3,0.18403654185680618
32,0.12298406520557818
28,0.3615796408597946
12,0.5807509836379897
13,0.5435427514980532
31,0.5676245940169552
29,0.5657998283091383
6,0.28228167183235897
15,1.0
18,1.0
17,1.0
26,1.0
39,1.0
20,0.16943865609374642
37,0.20248791294583143
21,0.34037571327736843
14,0.3040170870121502
19,0.0
35,0.62319106770766
16,0.36739748175315673
36,0.5192797634848403
0,0.0
5,0.9083636363636365
7,0.9083636363636365
8,0.5348265524722888
10,0.20122983468051878
38,0.0
9,0.0
