,0
0,22
1,12
2,0
3,0
4,1
5,5
6,9
7,18
8,7
9,10
10,16
11,4
12,1
13,2
14,13
15,4
16,14
17,6
18,1
19,0
20,6
21,9
22,10
23,3
24,10
25,1
26,1
27,13
28,12
29,6
30,6
31,15
32,14
33,3
34,13
35,5
36,10
37,8
38,16
39,9
40,17
41,5
42,5
43,13
44,5
45,7
46,0
47,4
48,4
49,0
50,3
51,1
52,14
53,14
54,7
55,11
56,1
57,17
58,16
59,1
60,3
61,0
62,3
63,14
64,6
65,16
66,11
67,3
68,5
69,4
70,17
71,16
72,1
73,17
74,2
75,2
76,11
77,12
78,12
79,7
80,17
81,10
82,7
83,13
84,4
85,11
86,15
87,10
88,14
89,8
90,6
91,8
92,3
93,0
94,6
95,17
96,2
97,16
98,17
99,0
100,5
101,17
102,6
103,5
104,1
105,12
106,6
107,3
108,1
109,5
110,7
111,0
112,14
113,18
114,3
115,5
116,7
117,16
118,18
119,17
120,16
121,1
122,9
123,10
124,15
125,16
126,11
127,4
128,13
129,19
130,16
131,0
132,10
133,7
134,4
135,4
136,8
137,11
138,2
139,1
140,13
141,9
142,4
143,8
144,4
145,18
146,1
147,18
148,9
149,7
150,15
151,18
152,18
153,17
154,17
155,16
156,11
157,1
158,2
159,13
160,12
161,13
162,12
163,1
164,6
165,5
166,4
167,8
168,17
169,18
170,6
171,11
172,10
173,15
174,7
175,5
176,6
177,16
178,10
179,4
180,11
181,2
182,8
183,9
184,17
185,8
186,2
187,1
188,1
189,1
190,1
191,9
192,17
193,10
194,11
195,14
196,8
197,3
198,10
199,4
200,6
201,4
202,12
203,14
204,11
205,1
206,2
207,2
208,9
209,18
210,12
211,10
212,7
213,16
214,1
215,11
216,5
217,0
218,1
219,1
220,5
221,12
222,6
223,6
224,9
225,8
226,7
227,18
228,17
229,12
230,12
231,16
232,2
233,12
234,5
235,3
236,11
237,11
238,7
239,6
240,6
241,10
242,11
243,14
244,18
245,19
246,18
247,5
248,18
249,8
250,4
251,12
252,12
253,9
254,9
255,2
256,13
257,4
258,14
259,8
260,15
261,0
262,0
263,15
264,19
265,15
266,3
267,5
268,7
269,14
270,19
271,17
272,13
273,11
274,1
275,12
276,4
277,4
278,19
279,17
280,2
281,13
282,10
283,11
284,11
285,8
286,10
287,4
288,7
289,14
290,15
291,3
292,18
293,10
294,15
295,14
296,5
297,4
298,5
299,6
300,9
301,5
302,18
303,10
304,17
305,12
306,5
307,10
308,18
309,5
310,19
311,11
312,18
313,18
314,7
315,0
316,10
317,9
318,5
319,4
320,6
321,15
322,0
323,2
324,2
325,16
326,8
327,6
328,12
329,9
330,14
331,4
332,7
333,6
334,14
335,6
336,13
337,2
338,2
339,1
340,3
341,3
342,1
343,1
344,2
345,16
346,3
347,18
348,15
349,15
350,2
351,17
352,0
353,4
354,9
355,9
356,15
357,9
358,2
359,10
360,7
361,10
362,13
363,17
364,17
365,5
366,5
367,15
368,0
369,14
370,2
371,17
372,1
373,7
374,6
375,14
376,6
377,14
378,6
379,6
380,3
381,14
382,14
383,14
384,10
385,13
386,7
387,16
388,10
389,9
390,17
391,15
392,5
393,13
394,0
395,9
396,0
397,0
398,0
399,7
400,8
401,11
402,3
403,16
404,3
405,4
406,3
407,17
408,7
409,3
410,1
411,1
412,4
413,1
414,16
415,12
416,6
417,12
418,1
419,2
420,4
421,13
422,17
423,10
424,12
425,15
426,0
427,13
428,5
429,7
430,10
431,14
432,7
433,11
434,7
435,3
436,6
437,17
438,8
439,1
440,9
441,6
442,12
443,13
444,3
445,1
446,3
447,9
448,7
449,7
450,3
451,3
452,7
453,2
454,14
455,14
456,5
457,14
458,0
459,5
460,11
461,18
462,8
463,0
464,16
465,4
466,6
467,17
468,3
469,4
470,2
471,11
472,11
473,11
474,18
475,10
476,17
477,5
478,2
479,3
480,12
481,7
482,6
483,15
484,7
485,0
486,3
487,14
488,2
489,17
490,9
491,10
492,15
493,6
494,5
495,2
496,17
497,7
498,17
499,11
500,1
501,17
502,15
503,17
504,12
505,6
506,11
507,18
508,16
509,11
510,5
511,0
512,15
513,17
514,16
515,16
516,15
517,3
518,12
519,18
520,12
521,12
522,7
523,9
524,11
525,8
526,16
527,14
528,1
529,4
530,17
531,7
532,11
533,16
534,6
535,2
536,17
537,5
538,4
539,2
540,11
541,6
542,13
543,1
544,4
545,13
546,6
547,10
548,8
549,6
550,9
551,8
552,0
553,9
554,16
555,5
556,16
557,7
558,7
559,0
560,8
561,10
562,3
563,5
564,11
565,18
566,0
567,0
568,4
569,3
570,13
571,0
