,0
0,20
1,13
2,4
3,2
4,2
5,3
6,16
7,17
8,1
9,11
10,8
11,7
12,6
13,4
14,9
15,18
16,9
17,6
18,0
19,11
20,12
21,8
22,5
23,16
24,5
25,1
26,14
27,15
28,8
29,13
30,13
31,1
32,2
33,1
34,2
35,1
36,12
37,11
38,13
39,18
40,17
41,7
42,12
43,4
44,0
45,1
46,4
47,15
48,17
49,7
50,5
51,5
52,14
53,7
54,9
55,9
56,0
57,6
58,16
59,11
60,7
61,1
62,6
63,4
64,3
65,13
66,9
67,8
68,12
69,6
70,12
71,7
72,5
73,13
74,6
75,16
76,13
77,10
78,9
79,1
80,15
81,8
82,5
83,4
84,9
85,13
86,10
87,10
88,4
89,3
90,4
91,6
92,1
93,10
94,4
95,5
96,4
97,0
98,1
99,5
100,10
101,10
102,9
103,2
104,3
105,12
106,14
107,5
108,1
109,2
110,2
111,11
112,1
113,11
114,7
115,6
116,15
117,17
118,17
119,18
120,8
121,1
122,4
123,19
124,16
125,15
126,13
127,3
128,18
129,11
130,7
131,0
132,13
133,7
134,7
135,8
136,12
137,8
138,1
139,1
140,15
141,12
142,12
143,6
144,3
145,7
146,15
147,15
148,2
149,5
150,16
151,14
152,9
153,7
154,13
155,6
156,12
157,18
158,17
159,11
160,10
161,5
162,9
163,14
164,8
165,8
166,7
167,9
168,15
169,11
170,5
171,7
172,7
173,12
174,13
175,9
176,3
177,17
178,1
179,2
180,6
181,8
182,12
183,13
184,9
185,1
186,1
187,4
188,0
189,5
190,8
191,14
192,11
193,9
194,1
195,14
196,8
197,5
198,5
199,11
200,7
201,11
202,11
203,13
204,0
205,9
206,9
207,6
208,10
209,10
210,1
211,9
212,8
213,14
214,10
215,11
216,9
217,11
218,9
219,1
220,6
221,14
222,16
223,11
224,16
225,2
226,0
227,2
228,10
229,9
230,9
231,4
232,13
233,15
234,2
235,11
236,4
237,11
238,6
239,15
240,9
241,16
242,7
243,0
244,5
245,17
246,15
247,10
248,11
249,16
250,12
251,16
252,17
253,12
254,9
255,8
256,7
257,3
258,8
259,1
260,1
261,11
262,9
263,6
264,11
265,11
266,9
267,5
268,6
269,2
270,18
271,15
272,12
273,8
274,1
275,1
276,8
277,9
278,6
279,9
280,8
281,1
282,7
283,5
284,15
285,15
286,1
287,3
288,1
289,7
290,5
291,4
292,1
293,4
294,5
295,5
296,3
297,6
298,17
299,12
300,15
301,5
302,14
303,12
304,12
305,3
306,2
307,3
308,8
309,15
310,2
311,17
312,9
313,6
314,5
315,0
316,16
317,7
318,8
319,6
320,6
321,13
322,2
323,16
324,12
325,11
326,7
327,12
328,7
329,9
330,16
331,10
332,15
333,7
334,11
335,9
336,15
337,0
338,9
339,10
340,4
341,4
342,7
343,7
344,10
345,16
346,7
347,7
348,7
349,4
350,5
351,13
352,0
353,8
354,1
355,2
356,16
357,8
358,16
359,3
360,8
361,2
362,9
363,7
364,15
365,7
366,8
367,8
368,1
369,8
370,8
371,17
372,15
373,11
374,13
375,3
376,2
377,12
378,5
379,13
380,15
381,11
382,7
383,15
384,14
385,15
386,2
387,14
388,13
389,3
390,9
391,7
392,15
393,5
394,1
395,6
396,16
397,6
398,2
399,1
400,11
401,5
402,15
403,14
404,1
405,7
406,13
407,4
408,2
409,7
410,7
411,2
412,16
413,8
414,1
415,16
416,2
417,18
418,9
419,2
420,4
421,10
422,3
423,17
424,17
425,1
426,16
427,9
428,1
429,19
430,15
431,13
432,3
433,16
434,5
435,15
436,1
437,16
438,14
439,1
440,15
441,17
442,8
443,13
444,5
445,10
446,1
447,14
448,12
449,15
450,2
451,1
452,2
453,8
454,13
455,15
456,5
457,6
458,15
459,1
460,16
461,10
462,8
463,7
464,11
465,11
466,8
467,16
468,11
469,12
470,8
471,11
472,9
473,3
474,13
475,2
476,13
477,5
478,10
479,6
480,3
481,8
482,13
483,8
484,6
485,1
486,9
487,11
488,6
489,0
490,6
491,9
492,15
493,6
494,12
495,5
496,5
497,13
498,9
499,16
500,13
501,5
502,4
503,4
504,3
505,14
506,6
507,3
508,2
509,9
510,16
511,7
512,6
513,7
514,0
515,1
516,1
517,11
518,16
519,17
520,8
521,13
522,2
523,0
524,6
525,9
526,11
527,16
528,11
529,16
530,7
531,9
532,3
533,8
534,8
535,1
536,15
537,5
538,14
539,10
540,11
541,4
542,1
543,0
544,8
545,14
546,5
547,6
548,7
549,4
550,9
551,3
552,18
553,3
554,4
555,13
556,2
557,13
558,11
559,2
560,14
561,9
562,18
563,6
564,3
565,1
566,6
567,9
568,11
569,4
570,7
571,2
572,13
573,8
574,12
575,6
576,17
577,10
578,4
579,6
580,2
581,11
582,4
583,7
584,7
585,7
586,4
587,8
588,17
589,13
590,9
591,5
592,3
593,7
594,17
595,9
596,7
597,6
598,6
599,4
600,5
601,6
602,1
603,12
604,9
605,3
606,16
607,3
608,16
609,4
610,15
611,15
612,13
613,2
614,13
615,12
616,14
617,9
618,11
619,14
620,6
621,6
622,8
623,16
624,14
625,5
626,13
627,14
628,9
629,7
630,17
631,12
632,7
633,16
634,5
635,16
636,12
637,12
638,7
639,8
640,6
641,8
642,15
643,12
644,3
645,13
646,7
647,13
648,13
649,11
650,14
651,1
652,15
653,10
654,0
655,8
656,8
657,14
658,3
659,8
660,7
661,11
662,5
663,0
664,12
665,13
666,12
667,6
668,4
669,16
670,9
671,3
672,4
673,4
674,3
675,6
676,4
677,14
678,5
679,5
680,14
681,16
682,9
683,8
684,16
685,12
686,10
687,10
688,0
689,11
690,5
691,12
692,1
693,14
694,5
695,9
696,12
697,14
698,14
699,10
700,9
701,14
702,6
703,17
704,0
705,16
706,16
707,12
708,2
709,0
710,2
711,5
712,3
713,17
714,5
715,8
716,14
717,11
718,1
719,13
720,0
721,2
722,3
723,2
724,2
725,14
726,10
727,18
728,7
729,1
730,8
731,7
732,11
733,10
734,3
735,8
736,8
737,2
738,14
739,17
740,11
741,1
742,10
743,7
744,4
745,9
746,10
747,9
748,10
749,0
750,8
751,6
752,6
753,7
754,15
755,13
756,5
757,14
758,7
759,7
760,4
761,3
762,16
763,8
764,15
765,7
766,0
767,9
768,5
769,10
770,4
771,1
772,1
773,7
774,14
775,10
776,9
777,4
778,9
779,2
780,1
781,7
782,10
783,15
784,14
785,16
786,0
787,2
788,13
789,8
790,16
791,12
792,13
793,15
794,16
795,14
796,11
797,2
798,6
799,4
800,12
801,12
802,8
803,15
804,5
805,12
806,10
807,16
808,14
809,4
810,4
811,1
812,1
813,8
814,1
815,14
816,0
817,7
818,17
819,13
820,14
821,16
822,11
823,1
824,7
825,9
826,16
827,2
828,13
829,8
830,11
831,9
832,1
833,2
834,0
835,3
836,8
837,1
838,1
839,11
840,7
841,7
842,9
843,1
844,5
845,8
846,14
847,9
848,2
849,0
850,7
851,8
852,14
853,11
854,7
855,0
856,1
857,11
858,8
859,8
860,8
861,3
862,13
863,4
864,1
865,16
866,5
867,6
868,15
869,1
870,15
871,5
872,9
873,8
874,11
875,11
876,6
877,13
878,4
879,2
880,0
881,5
882,8
883,3
884,1
885,16
886,3
887,18
888,1
889,8
890,15
891,14
892,11
893,11
894,9
895,8
896,10
897,16
898,1
899,0
900,1
901,17
902,7
903,8
904,1
905,1
906,5
907,0
908,4
909,1
910,0
911,1
912,4
913,8
914,7
915,14
916,6
917,1
918,15
919,8
920,5
921,9
922,4
923,3
924,6
925,2
926,6
927,16
928,14
929,13
930,7
931,16
932,7
933,1
934,7
935,6
936,2
937,12
938,5
939,15
940,13
941,3
942,14
943,14
944,1
945,7
946,8
947,1
948,7
949,4
950,16
951,15
952,0
953,0
954,0
955,15
956,10
957,2
958,2
959,8
960,1
961,3
962,12
963,0
964,9
965,12
966,11
967,8
968,12
969,8
970,8
971,10
972,16
973,9
974,9
975,0
976,16
977,1
978,15
979,9
980,12
981,4
982,8
983,17
984,14
985,16
986,13
987,10
988,8
989,2
990,0
991,6
992,7
993,16
994,3
995,17
996,14
997,9
998,16
999,0
1000,15
1001,12
1002,10
1003,6
1004,3
1005,9
1006,2
1007,6
1008,10
1009,14
1010,6
1011,9
1012,8
1013,0
1014,10
1015,15
1016,13
1017,12
1018,12
1019,11
1020,1
1021,2
1022,16
1023,8
1024,9
1025,10
1026,7
1027,9
1028,16
1029,0
1030,3
1031,15
1032,6
1033,8
1034,1
1035,1
1036,11
1037,7
1038,1
1039,6
1040,13
1041,17
1042,9
1043,5
1044,6
1045,7
1046,13
1047,9
1048,6
1049,11
1050,1
1051,16
1052,0
1053,1
1054,7
1055,2
1056,5
1057,7
1058,17
1059,8
1060,4
1061,9
1062,7
1063,0
1064,7
1065,0
1066,6
1067,7
1068,9
1069,8
1070,4
1071,6
1072,10
1073,3
1074,4
1075,11
1076,12
1077,1
1078,14
1079,12
1080,16
1081,13
1082,16
1083,17
