,Reassignments of a switch in 120 iterations
28,1.0
34,1.0
1,1.0
40,1.0
30,1.0
33,1.0
22,0.19141643845199258
23,0.17380654676646817
12,0.19111754931228514
2,0.1604300038856679
31,0.18686034104280458
13,0.12497930887904223
24,0.33308637180869777
27,0.3202366186754593
25,0.34405050910537377
11,0.5149962131686859
29,0.4307634933854141
6,0.5204101991280335
3,0.5051780752070838
4,0.32244163759856675
32,0.23522709155676033
36,1.0
17,1.0
16,1.0
21,1.0
37,1.0
35,1.0
20,0.5315835061317175
14,0.16571640482720376
15,0.18846471245928917
26,0.5049942438617013
19,0.0
39,0.5294100714121535
18,0.5139379976729032
8,0.9047836734693879
7,0.9047836734693879
5,0.5011250663218422
10,0.3069153267212218
9,0.0
0,0.0
